M,padding_bytes,threads,N,mean_sec,std_sec
32,0,1,10000000,0.0163405,8.64476e-05
32,0,2,10000000,0.0212967,0.000202246
32,0,4,10000000,0.0138431,0.000207127
32,0,8,10000000,0.00904939,0.00016292
32,0,16,10000000,0.00570713,0.000294941
33,0,1,10000000,0.0194777,0.0032719
33,0,2,10000000,0.0209288,0.00117528
33,0,4,10000000,0.00988183,7.71679e-05
33,0,8,10000000,0.0102893,0.000168456
33,0,16,10000000,0.00455802,0.000247586
