M,padding_bytes,threads,N,mean_sec,std_sec,spill_bytes,aligned
8,0,4,10000000,0.0168086,0.000215559,32,no
9,0,4,10000000,0.0180148,0.000183477,36,no
12,0,4,10000000,0.0117914,0.000278216,48,no
16,0,4,10000000,0.0187685,0.000715665,0,yes
17,0,4,10000000,0.0177912,0.00019414,4,no
18,0,4,10000000,0.0179691,0.000317642,8,no
20,0,4,10000000,0.0184549,0.000389065,16,no
24,0,4,10000000,0.0146908,0.000183076,32,no
32,0,4,10000000,0.0161642,0.000692044,0,yes
33,0,4,10000000,0.0123569,0.000467122,4,no
36,0,4,10000000,0.0163704,0.000160109,16,no
48,0,4,10000000,0.0127745,0.000489555,0,yes
64,0,4,10000000,0.0123318,0.000318347,0,yes
65,0,4,10000000,0.0139467,0.000125247,4,no
72,0,4,10000000,0.0128528,0.00011372,32,no
