M,padding_bytes,threads,N,mean_sec,std_sec
17,0,16,10000000,0.00754107,0.000325296
17,4,16,10000000,0.00524229,0.000214821
17,8,16,10000000,0.00517439,0.000352955
17,16,16,10000000,0.00465149,0.000428491
17,32,16,10000000,0.00291574,5.31021e-05
17,64,16,10000000,0.00122751,8.85609e-05
17,128,16,10000000,0.00130813,0.000100396
