M,padding_bytes,threads,N,mean_sec,std_sec
16,0,1,10000000,0.0165742,0.00085671
16,0,2,10000000,0.0235402,0.000557879
16,0,4,10000000,0.0168703,0.000414753
16,0,8,10000000,0.00963371,0.000522427
16,0,16,10000000,0.00642967,0.000172996
17,0,1,10000000,0.0162863,0.000154873
17,0,2,10000000,0.02339,0.000367916
17,0,4,10000000,0.0141335,0.00075547
17,0,8,10000000,0.00713405,8.17493e-05
17,0,16,10000000,0.00624247,0.000429871
