M,padding_bytes,threads,N,mean_sec,std_sec
33,0,16,100000000,0.0746915,0.000226656
33,4,16,100000000,0.063659,0.000310259
33,8,16,100000000,0.057196,0.000280334
33,16,16,100000000,0.040206,5.84607e-05
33,32,16,100000000,0.0321457,4.71567e-05
33,64,16,100000000,0.0159338,0.000625341
33,128,16,100000000,0.0139911,0.00076014
