M,padding_bytes,threads,N,mean_sec,std_sec
32,0,1,100000000,0.210685,0.000533306
32,0,2,100000000,0.308938,0.000219872
32,0,4,100000000,0.217297,0.000210336
32,0,8,100000000,0.144584,0.000192523
32,0,16,100000000,0.0773131,6.95766e-05
33,0,1,100000000,0.21376,0.000539849
33,0,2,100000000,0.292397,0.000382841
33,0,4,100000000,0.168218,0.000106732
33,0,8,100000000,0.128355,0.000165941
33,0,16,100000000,0.0737425,0.000173868
